REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,ZIP_CODE,latlon_src,geometry,n_fac_overlaps
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,2 MILE WEST FM 2917 ON FM 2004,77511,facilities_20220311.csv,"c(-95.2249013, 29.2950372)",5
110000747318,MHBA CB LLLP,FM 2917,775110000,Google geocoding API - GS,"c(-95.2249013, 29.2950372)",5
110027376337,EASTMAN CHOCOLATE BAYOU,FM 2917,77511,facilities_20220311.csv,"c(-95.2249013, 29.2950372)",5
110061084829,MHBA CHOCOLATE BAYOU PLANT,FM 2917 FROM STATE RD 35 HEAD SE,77512,facilities_20220311.csv,"c(-95.2249013, 29.2950372)",5
110067426529,MONSANTO CHOCOLATE BAYOU,FM 2917,77511,facilities_20220311.csv,"c(-95.2249013, 29.2950372)",5
110017867281,PRAXAIR VALERO REFINERY,1301 LOOP 197 STE B,77590,facilities_20220311.csv,"c(-94.9133607, 29.3688933)",4
110032911669,VALERO TEXAS CITY REFINERY,1301 LOOP 197 S,77592,facilities_20220311.csv,"c(-94.9133607, 29.3688933)",4
110070244519,VALERO TEXAS CITY REFINERY FIRE,1301 LOOP 197 SOUTH,77590,facilities_20220311.csv,"c(-94.9133607, 29.3688933)",4
110070337042,VALERO TEXAS CITY REFINERY FIRE,1301 LOOP 197 SOUTH,77590,Google geocoding API - GS,"c(-94.9133607, 29.3688933)",4
110000503937,EL DORADO NITROGEN LP,8490 WEST BAY ROAD,77523,facilities_20220311.csv,"c(-94.9134738, 29.7462506)",4
110000743811,FIRST CHEMICAL TEXAS LP,8480 W. BAY RD.,77520,facilities_20220311.csv,"c(-94.9134738, 29.7462506)",4
110000756361,MOMENTIVE SPECIALTY CHEMICALS INC.- BAYTOWN TX,8450 WEST BAY ROAD,77523,facilities_20220311.csv,"c(-94.9134738, 29.7462506)",4
110070060013,HEXION BAYTOWN,8450 W BAY RD,77523,facilities_20220311.csv,"c(-94.9134738, 29.7462506)",4
110000462847,TOTAL PETROCHEMICALS USA INC - BAYPORT HDPE PLANT,12212 PORT DR,77507,facilities_20220311.csv,"c(-95.0158487, 29.6027969)",4
110000462874,HNA HOLDINGS INC.,12212 C PORT ROAD,77507,facilities_20220311.csv,"c(-95.0158487, 29.6027969)",4
110070059174,TOTAL SPECIALTIES USA BAYPORT,12212 PORT RD,77507,facilities_20220311.csv,"c(-95.0158487, 29.6027969)",4
110071162173,BAYPORT PLANT,12212 PORT ROAD,77507,Google geocoding API - GS,"c(-95.0158487, 29.6027969)",4
110033536573,AIR LIQUIDE - LA PORTE ASU,11450 W FAIRMONT PKWY,77571,facilities_20220311.csv,"c(-95.0559451, 29.6477264)",4
110063955420,LA PORTE SMR,11450 W FARIRMONT PKWY,77507,facilities_20220311.csv,"c(-95.0559451, 29.6477264)",4
110067130660,LA PORTE SMR,11450 W. FAIRMONT PARKWAY,77571,Google geocoding API - GS,"c(-95.0559451, 29.6477264)",4
110070375269,AIR LIQUIDE LA PORTE SMR,11450 W FAIRMONT PKWY,77571-6000,Google geocoding API - GS,"c(-95.0559451, 29.6477264)",4
110020478990,HOUSTON POLYMERS TERMINAL,10925 HIGHWAY 225,77571-8718,Google geocoding API - GS,"c(-95.0618207, 29.6975454)",4
110020480095,RYTON ENGINEERING PLASTIC,10925 HIGHWAY 225,77571,facilities_20220311.csv,"c(-95.0618207, 29.6975454)",4
110033939246,HOUSTON POLYMERS TERMINAL,10925 HIGHWAY 225,775718718,Google geocoding API - GS,"c(-95.0618207, 29.6975454)",4
110070191337,EQUISTAR CHEMICALS AT KATOEN NATIE,10925 STATE HIGHWAY 225,77571,Google geocoding API - GS,"c(-95.0618207, 29.6975454)",4
110000506079,EQUISTAR CHEMICALS BAYPORT CHEMICALS PLANT,5761 UNDERWOOD ROAD,77507,facilities_20220311.csv,"c(-95.0796976, 29.6260882)",4
110015743720,OCCIDENTAL CHEMICALS PLANT,5761 UNDERWOOD RD.,77507,facilities_20220311.csv,"c(-95.0796976, 29.6260882)",4
110045433090,SUNOCO BAYPORT BPT1,5761 UNDERWOOD RD,77507,facilities_20220311.csv,"c(-95.0796976, 29.6260882)",4
110067200460,SOLVAY USA INC.,5761 UNDERWOOD ROAD,77507,facilities_20220311.csv,"c(-95.0796976, 29.6260882)",4
110069449270,INEOS POLYMERS,1230 INDEPENDENCE PKWY S,77571,Google geocoding API - GS,"c(-95.089072, 29.7191601)",4
